Date,ProductID,ProductName,Category,Quantity,UnitPrice,CustomerID,Country
7/10/2023,1016,style carry everybody,Electronics,11,0.36,38452,Germany
3/21/2022,1212,so stay write,Home & Kitchen,4,38.33,46321,France
12/25/2022,9600,toward lawyer we,Beauty & Health,9,89.57,33071,Germany
6/21/2023,3455,our now foreign,Electronics,2,67.55,75434,United States
9/3/2022,7054,always tree be,Clothing,11,89.71,43033,Germany
8/10/2022,1217,ago person speech,Electronics,16,57.74,95092,Canada
1/19/2024,4191,without answer maybe,Beauty & Health,18,83.78,67582,Germany
1/9/2023,2742,possible describe everybody,Clothing,11,70.36,56360,France
1/9/2023,3767,job various writer,Beauty & Health,2,59.62,27902,United Kingdom
12/9/2022,2737,pick control red,Home & Kitchen,1,55.72,74177,United Kingdom
7/3/2023,9029,peace some response,Clothing,2,19.8,37992,United States
10/6/2023,5538,light those of,Toys & Games,17,43.12,75722,Germany
4/27/2022,8215,explain short than,Clothing,16,71.1,53509,United States
10/31/2023,9427,discuss case tend,Toys & Games,4,22.9,72608,United Kingdom
8/25/2022,4311,quickly fund learn,Toys & Games,8,15.08,36052,Germany
4/21/2023,5195,answer the weight,Home & Kitchen,19,50,51498,United States
11/25/2022,6473,she between maintain,Clothing,13,0.53,91419,Canada
4/24/2022,1464,American star music,Electronics,8,39.46,71757,Germany
1/22/2024,8300,enjoy black month,Clothing,2,86.88,28405,France
7/31/2022,4864,ball offer suggest,Clothing,17,62.32,78128,France
3/12/2024,7946,give laugh only,Beauty & Health,20,84.32,27315,France
4/15/2023,5374,technology attorney method,Toys & Games,9,58.74,24661,United Kingdom
7/3/2022,7619,image through at,Home & Kitchen,3,8.33,52291,Canada
1/3/2023,8559,cultural chair style,Toys & Games,10,31.12,93508,Canada
4/18/2023,4790,somebody daughter compare,Home & Kitchen,6,55.46,42242,France
3/15/2023,5872,growth modern program,Beauty & Health,13,61.19,26679,Canada
7/7/2022,5170,nearly professional senior,Home & Kitchen,16,73.69,48979,United Kingdom
11/23/2022,7552,large situation arrive,Home & Kitchen,16,78.36,18374,Canada
12/18/2022,8164,off strategy may,Clothing,9,26.14,58361,United Kingdom
8/9/2022,4758,set million back,Clothing,16,98.32,91076,Canada
5/3/2022,2615,clear brother get,Clothing,6,88.47,29106,France
4/2/2022,2456,run city future,Beauty & Health,20,50.68,85070,United Kingdom
4/17/2023,8263,her three work,Electronics,5,6.91,69247,United Kingdom
7/6/2022,2740,only toward sister,Home & Kitchen,11,21.45,21375,Germany
2/8/2023,1515,hold everyone computer,Toys & Games,20,16.94,63422,United Kingdom
12/27/2022,6480,water make figure,Home & Kitchen,1,94.48,98473,United Kingdom
2/18/2024,2281,might culture whole,Beauty & Health,18,48.47,92358,United States
11/10/2023,9182,figure board sport,Home & Kitchen,16,72.81,31331,United States
3/24/2023,1702,generation benefit whatever,Toys & Games,11,72.67,68013,Canada
9/11/2022,3161,life reach share,Clothing,15,5.08,63003,France
4/22/2023,9792,current level remain,Beauty & Health,20,38.98,26567,Canada
6/19/2022,4738,attention machine someone,Beauty & Health,13,11.48,78655,Germany
9/5/2022,2595,drop different present,Electronics,8,46.45,39909,United States
1/6/2023,5735,reason term inside,Toys & Games,13,42.08,15878,Canada
8/6/2023,9467,even lose member,Beauty & Health,19,35.16,57077,Germany
10/20/2023,5194,name message between,Toys & Games,6,82.03,54338,United States
7/12/2023,6615,air thank him,Toys & Games,10,66.02,46690,France
1/20/2023,5825,whole idea candidate,Electronics,7,65.47,42395,Germany
8/26/2023,6337,laugh institution reality,Home & Kitchen,10,73.74,91312,Germany
12/16/2022,6227,begin security I,Electronics,10,93.2,31351,United States
1/11/2023,1338,drop recently natural,Clothing,7,77.78,78384,United Kingdom
6/30/2022,6732,free give they,Clothing,5,21.19,86693,Germany
10/8/2023,8873,question information ago,Beauty & Health,7,10.58,83012,United Kingdom
3/7/2024,9004,bag begin personal,Beauty & Health,3,27.24,43980,Canada
7/12/2022,5016,office plan line,Electronics,11,22.42,49452,Canada
7/5/2023,4839,production thank right,Home & Kitchen,9,66.9,48505,France
4/11/2022,5207,little last certainly,Electronics,3,52.65,10096,Germany
7/11/2022,3551,would fight family,Electronics,19,9.82,57724,United Kingdom
12/2/2023,2320,American free hope,Home & Kitchen,6,57.87,84355,United Kingdom
4/13/2022,8850,but fly sometimes,Clothing,2,11.06,28188,United Kingdom
6/8/2023,6280,sometimes record star,Toys & Games,5,53.09,26499,Canada
11/12/2023,8783,expect despite leg,Beauty & Health,6,63.56,35250,United States
2/8/2023,6634,threat side sure,Home & Kitchen,10,77.13,81492,United Kingdom
4/25/2022,7209,suddenly marriage design,Clothing,19,88.59,87430,Germany
6/19/2023,6844,rule similar visit,Clothing,14,77.6,30454,United Kingdom
3/23/2022,9410,that out range,Beauty & Health,16,97.94,38956,United Kingdom
7/11/2023,2651,region beautiful tonight,Electronics,5,92.31,62085,France
7/16/2023,4481,imagine interesting consider,Home & Kitchen,14,59.69,41167,United Kingdom
6/27/2023,4865,ever go move,Toys & Games,2,60,23506,Germany
2/5/2023,9999,exist service most,Clothing,6,99.11,28927,United Kingdom
3/11/2023,4189,set single his,Electronics,10,49.12,35553,France
2/19/2024,9720,number Democrat wear,Electronics,12,93.38,81533,Canada
10/31/2023,7627,tough generation little,Beauty & Health,6,91.77,61751,Germany
3/22/2023,7266,once week form,Clothing,12,36.79,39901,United States
2/14/2024,4589,spring run decade,Toys & Games,8,58.01,35276,United Kingdom
6/13/2023,5806,bad option hour,Toys & Games,19,0.71,82674,Canada
4/15/2022,9844,agent provide art,Home & Kitchen,2,73.92,22725,France
5/19/2022,6879,professor side sure,Electronics,11,52.65,21838,United States
2/13/2023,2099,marriage of natural,Clothing,2,42.57,75687,United States
11/23/2022,9584,memory once couple,Toys & Games,1,30.3,59147,United States
7/2/2023,2931,read bill use,Electronics,12,98.52,99619,Germany
4/15/2022,3232,record sort during,Clothing,10,71.42,72835,Germany
3/10/2023,4565,than response certainly,Toys & Games,3,58.77,44972,Canada
8/3/2022,2577,gun everything hope,Toys & Games,10,74.97,89298,Germany
8/29/2022,8466,world standard television,Toys & Games,17,80.17,43431,United States
9/2/2023,2667,rich treatment attack,Home & Kitchen,20,13.28,15361,Canada
2/16/2024,3539,fly set but,Beauty & Health,13,95.13,63093,Canada
1/9/2023,8676,country them of,Home & Kitchen,5,78.26,14594,Canada
5/27/2023,3878,town consider simply,Beauty & Health,8,38.7,93054,Germany
10/6/2023,1034,final beat consumer,Toys & Games,2,46.77,42181,France
12/31/2023,4041,several music past,Electronics,19,15.2,33902,Germany
2/18/2023,7863,attorney wonder memory,Home & Kitchen,20,80.77,51029,Germany
10/10/2023,9421,fear three since,Beauty & Health,10,50.62,97320,France
4/27/2023,7258,movie magazine pass,Electronics,2,59.3,29176,France
1/15/2024,5313,respond time ten,Toys & Games,11,91.82,78086,Germany
8/26/2023,9437,keep evening argue,Home & Kitchen,7,69.69,65744,United Kingdom
7/13/2023,5286,pick likely shake,Clothing,10,68.49,29428,France
7/18/2022,5471,idea simply peace,Toys & Games,14,90.85,98775,Germany
3/30/2023,8363,check save result,Toys & Games,18,15.37,23285,United Kingdom
4/9/2023,7418,central know name,Electronics,17,57.56,99790,United Kingdom
